,level_0,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
285,92355,46.0,56.0,52,64,38,66,-1.0
286,66363,70.0,95.0,42,48,95,23,1.0
287,88890,59.0,45.0,39,45,33,46,-1.0
288,55924,77.0,92.0,53,61,47,40,1.0
289,71396,75.0,86.0,43,45,62,28,0.0
290,109085,77.0,70.0,58,46,43,51,1.0
291,28915,76.0,67.0,33,45,40,59,1.0
292,82677,94.0,70.0,80,35,54,49,1.0
293,104571,82.0,91.0,66,38,60,24,-1.0
294,91102,61.0,66.0,57,35,34,42,1.0
295,67712,75.0,69.0,31,40,37,48,1.0
296,59094,83.0,81.0,57,49,52,53,0.0
297,29255,66.0,73.0,35,84,48,51,0.0
298,68669,68.0,70.0,48,56,27,47,1.0
299,85002,89.0,71.0,59,44,53,73,1.0
300,4024,65.0,45.0,66,38,60,70,1.0
301,51761,62.0,45.0,39,53,34,54,1.0
302,88461,63.0,59.0,38,39,39,41,1.0
303,75478,91.0,68.0,74,20,42,51,1.0
304,105302,72.0,85.0,50,58,55,39,1.0
305,42107,89.0,69.0,61,40,46,51,0.0
306,86485,69.0,77.0,46,69,40,74,0.0
307,82700,75.0,81.0,35,54,40,46,0.0
308,55876,73.0,89.0,37,59,63,33,1.0
309,7706,56.0,46.0,48,52,39,31,0.0
310,96660,58.0,56.0,73,42,52,50,1.0
311,39139,81.0,61.0,51,45,35,57,1.0
312,16474,74.0,94.0,47,45,81,40,0.0
313,27805,90.0,65.0,112,22,33,102,1.0
314,114759,51.0,61.0,50,50,58,57,1.0
315,6219,43.0,40.0,38,52,29,50,-1.0
316,40159,81.0,67.0,44,35,33,36,0.0
317,9271,56.0,55.0,41,50,45,56,0.0
318,112528,56.0,52.0,42,32,42,45,0.0
319,10020,75.0,74.0,44,53,32,39,1.0
320,40680,67.0,92.0,28,64,74,37,-1.0
321,120217,56.0,53.0,41,53,64,49,-1.0
322,39044,83.0,80.0,43,31,41,36,-1.0
323,97497,70.0,51.0,85,44,36,63,1.0
324,20737,56.0,57.0,61,53,69,55,1.0
325,54549,61.0,57.0,41,43,64,43,1.0
326,74048,66.0,67.0,23,37,19,33,-1.0
327,33078,80.0,62.0,70,53,39,66,1.0
328,17091,87.0,85.0,58,50,65,39,0.0
329,1112,62.0,54.0,66,53,82,55,0.0
330,73495,66.0,71.0,25,56,35,53,-1.0
331,115176,49.0,49.0,42,44,43,61,1.0
332,111481,73.0,75.0,37,51,52,56,1.0
333,4970,49.0,67.0,38,36,51,42,0.0
334,77410,72.0,83.0,29,69,37,52,0.0
335,107403,92.0,74.0,70,35,45,48,1.0
336,28521,70.0,86.0,58,43,73,23,-1.0
337,118072,65.0,67.0,48,59,53,34,-1.0
338,74748,67.0,74.0,33,48,50,39,-1.0
339,60405,93.0,95.0,85,42,74,34,0.0
340,22482,54.0,47.0,55,67,52,77,0.0
341,108517,84.0,76.0,52,35,37,46,0.0
342,113742,63.0,46.0,39,39,44,70,1.0
343,114018,62.0,40.0,55,50,46,59,1.0
344,102239,53.0,54.0,38,41,38,53,0.0
345,92278,53.0,62.0,40,35,47,47,0.0
346,81653,80.0,80.0,46,43,48,64,0.0
347,66700,77.0,74.0,51,60,31,50,0.0
348,4906,66.0,49.0,41,33,38,36,1.0
349,49542,58.0,49.0,52,38,35,63,1.0
350,26268,68.0,71.0,35,79,51,59,1.0
351,45473,93.0,83.0,86,28,54,47,-1.0
352,12980,82.0,72.0,54,59,51,58,0.0
353,26970,63.0,70.0,40,67,37,55,1.0
354,75155,66.0,76.0,47,55,45,56,1.0
355,88363,74.0,83.0,29,52,60,44,-1.0
356,117515,63.0,59.0,51,56,57,57,-1.0
357,56748,90.0,83.0,53,28,62,61,0.0
358,77518,78.0,78.0,40,56,42,52,1.0
359,25444,73.0,70.0,42,35,43,38,1.0
360,64534,66.0,75.0,38,53,43,59,1.0
361,13688,76.0,87.0,37,64,77,38,0.0
362,87289,65.0,79.0,50,59,36,42,-1.0
363,51127,48.0,54.0,52,59,55,40,-1.0
364,38807,70.0,73.0,59,46,37,54,1.0
365,66075,95.0,94.0,106,27,68,28,-1.0
366,65510,68.0,67.0,39,55,55,67,1.0
367,2255,56.0,61.0,37,35,49,47,1.0
368,42644,88.0,87.0,42,36,59,40,1.0
369,80233,78.0,85.0,36,44,45,43,-1.0
370,114246,61.0,63.0,47,46,55,50,1.0
371,52734,62.0,47.0,60,32,38,45,0.0
372,117923,53.0,52.0,43,50,50,54,0.0
373,36878,68.0,72.0,35,46,30,68,-1.0
374,2372,57.0,65.0,38,50,33,40,0.0
375,20574,57.0,50.0,69,66,54,68,0.0
376,26327,71.0,73.0,51,59,44,40,-1.0
377,112400,52.0,66.0,42,45,39,54,1.0
378,42958,88.0,86.0,56,44,46,26,0.0
379,106318,82.0,83.0,40,54,46,60,1.0
380,73839,66.0,64.0,31,54,47,37,-1.0
381,102591,53.0,59.0,45,83,42,35,-1.0
382,17714,82.0,85.0,53,26,72,38,1.0
383,44446,64.0,93.0,34,76,108,29,-1.0
384,56262,89.0,74.0,40,38,54,53,0.0
385,27923,75.0,71.0,59,40,41,61,1.0
386,34936,84.0,75.0,55,33,25,39,1.0
387,88403,64.0,68.0,42,37,44,29,1.0
388,12637,81.0,74.0,41,54,36,44,0.0
389,109800,86.0,72.0,52,52,33,45,1.0
390,49707,51.0,49.0,44,30,38,38,1.0
391,122184,58.0,54.0,48,35,46,44,0.0
392,71779,69.0,87.0,46,45,51,31,-1.0
393,45070,60.0,63.0,57,58,58,48,0.0
394,119859,41.0,51.0,37,52,38,41,1.0
395,115658,43.0,48.0,26,63,46,35,-1.0
396,109799,73.0,88.0,34,63,83,41,0.0
397,90061,70.0,55.0,66,39,46,52,-1.0
