,index,link,Elo_home,Elo_away,home_GF,home_GA,away_GF,away_GA,result
112,112,https://www.besoccer.com/match/ajax/sparta-rotterdam/20222578,89,66,98,19,30,48,1.0
113,113,https://www.besoccer.com/match/nec/fc-twente-1965/20222582,68,78,38,52,55,37,-1.0
114,114,https://www.besoccer.com/match/heerenveen/fc-groningen/20222585,76,74,37,50,41,55,1.0
115,115,https://www.besoccer.com/match/psv/rkc-waalwijk/20222584,89,53,86,42,40,51,1.0
116,116,https://www.besoccer.com/match/vitesse/sc-cambuur-leeuwarden/20222586,77,59,42,51,53,70,1.0
117,117,https://www.besoccer.com/match/heracles/feyenoord/20222581,72,84,33,49,76,34,-1.0
118,118,https://www.besoccer.com/match/fc-zwolle/az/20222583,72,81,26,52,64,44,1.0
119,119,https://www.besoccer.com/match/penafiel/varzim/202235614,56,54,38,38,25,39,1.0
120,120,https://www.besoccer.com/match/casa-pia/farense/202235608,41,42,50,22,40,42,1.0
121,121,https://www.besoccer.com/match/mafra/chaves/202235611,44,65,37,42,54,35,-1.0
122,122,https://www.besoccer.com/match/benfica-ii/cf-estrela-de-amadora/202235615,54,48,61,44,42,55,0.0
123,123,https://www.besoccer.com/match/vilafranquense/academico-viseu/202235613,39,45,41,47,31,49,1.0
124,124,https://www.besoccer.com/match/sporting-covilha/academica/202235609,53,59,30,43,35,62,1.0
125,125,https://www.besoccer.com/match/nacional/rio-ave/202235607,71,74,52,44,52,31,1.0
126,126,https://www.besoccer.com/match/porto-ii/feirense/202235610,53,63,45,49,50,37,1.0
127,127,https://www.besoccer.com/match/trofense/leixoes/202235612,45,53,35,41,42,40,-1.0
128,128,https://www.besoccer.com/match/us-cremonese/us-alessandria-1912/202296433,64,51,57,39,37,59,1.0
129,129,https://www.besoccer.com/match/pordenone/frosinone-calcio/202296437,44,58,29,71,58,45,1.0
130,130,https://www.besoccer.com/match/reggina/benevento-calcio/202296438,44,60,31,49,62,39,-1.0
131,131,https://www.besoccer.com/match/ternana-calcio/lecce/202296439,53,65,58,61,59,31,-1.0
132,132,https://www.besoccer.com/match/spal-1907/nuova-cosenza/2022149032,57,45,46,54,36,59,0.0
133,133,https://www.besoccer.com/match/parma-fc/como/202296435,56,44,48,43,49,54,1.0
134,134,https://www.besoccer.com/match/as-cittadella/perugia/202296432,57,62,38,36,40,32,0.0
135,135,https://www.besoccer.com/match/ac-monza-brianza-1912/ascoli/202296434,64,52,60,38,52,42,1.0
136,136,https://www.besoccer.com/match/pisa-calcio/brescia/202296436,57,61,48,35,55,35,0.0
137,137,https://www.besoccer.com/match/vicenza-calcio/fc-crotone/202296440,46,56,38,59,41,61,0.0
